chr	start	end
LG1	263932	263932
LG1	1324817	1324817
LG1	1381152	1381152
LG1	1489437	1489950
LG1	1541953	1541953
LG1	1731081	1733590
LG1	1904503	1904503
LG1	2087862	2087862
LG1	2284685	2284685
LG1	2856590	2856590
LG1	3248382	3248382
LG1	3516478	3516546
LG1	3653195	3653195
LG1	4060410	4060462
LG1	4082677	4082677
LG1	4437863	4437863
LG1	4530805	4530805
LG1	4551504	4551504
LG1	4859675	4859675
LG1	4997017	4997017
LG1	5034614	5034614
LG1	5178467	5178925
LG1	5592197	5592197
LG1	5990446	5990446
LG1	6466895	6467768
LG1	7548551	7548631
LG1	7779906	7779906
LG1	7914201	7914537
LG1	8060718	8060718
LG1	8156947	8234115
LG1	8630134	8630134
LG1	8820649	8820649
LG1	9522963	9522963
LG1	9624026	9624026
LG1	9973924	9973924
LG1	10336782	10336782
LG1	10434408	10472726
LG1	10513252	10513314
LG1	10809791	10809791
LG1	10948805	10948805
LG1	11021920	11021978
LG1	11415983	11416176
LG1	11464629	11464629
LG1	12207199	12207199
LG1	12248029	12248029
LG1	13157775	13157775
LG1	13188573	13188573
LG1	13231998	13231998
LG1	13344950	13344950
LG2	36400	36400
LG2	106865	106921
LG2	278012	278081
LG2	316412	316412
LG2	872030	872030
LG2	1146497	1147041
LG2	1152711	1251060
LG2	1321282	1321282
LG2	1491704	1491704
LG2	1517283	1517531
LG2	1745532	1745532
LG2	1911330	1911330
LG2	2008668	2009454
LG2	2010000	2010000
LG2	2378338	2378338
LG2	2653615	2653876
LG2	2662314	2662623
LG2	2814721	2814721
LG2	3634117	3634117
LG2	3687722	3687722
LG2	3860021	3860094
LG2	4382565	4386643
LG2	4392083	4392083
LG2	4494132	4495927
LG2	4744439	4744439
LG2	4796406	4796885
LG2	4830412	4833748
LG2	4930368	4990755
LG2	5155715	5155715
LG2	6090278	6091040
LG2	6406291	6406700
LG2	6519355	6575395
LG2	6519614	6575722
LG2	6722306	6722306
LG2	8543777	8543953
LG2	8606950	8607057
LG2	8838616	8838714
LG2	8936368	8938333
LG2	8996056	9019326
LG2	9184934	9184934
LG2	9251137	9251137
LG2	9526326	9526433
LG2	9735649	9735649
LG2	9894166	9894166
LG2	9920528	9920528
LG2	10267208	10267208
LG2	11067898	11067961
LG2	11452669	11452669
LG2	11502801	11502801
LG2	11827955	11828475
LG2	11842599	11842599
LG2	11843839	11843839
LG2	11870457	11870457
LG2	12038347	12038347
LG2	12048962	12048962
LG2	12114241	12114241
LG2	12119676	12119676
LG2	12159471	12159471
LG2	12171953	12172019
LG2	12755878	12755878
LG3	78422	78422
LG3	893324	893324
LG3	912970	912970
LG3	1368781	1368781
LG3	1597917	1598488
LG3	1831800	1831871
LG3	2249066	2249066
LG3	2393590	2393590
LG3	2614930	2614930
LG3	2644946	2644946
LG3	2748756	2820993
LG3	2932508	2932508
LG3	3014427	3014427
LG3	3070453	3070453
LG3	3214974	3214974
LG3	3222204	3222204
LG3	3366979	3366979
LG3	3654557	3654557
LG3	3747734	3748167
LG3	4488939	4488939
LG3	4505117	4505117
LG3	4619795	4619885
LG3	4855133	4855213
LG3	4976253	4976546
LG3	5720323	5720323
LG3	5796019	5796184
LG3	5810155	5810155
LG3	5844655	5850203
LG3	5909001	5926652
LG3	6203864	6206902
LG3	6204722	6204778
LG3	6283156	6288118
LG3	6570570	6576787
LG3	6655572	6694516
LG3	6721107	6721249
LG3	7396162	7396162
LG3	7580382	7581175
LG3	7624769	7632814
LG3	7670550	7672663
LG3	7753155	7754781
LG3	7773246	7774441
LG3	7773382	7773834
LG3	7779453	7790856
LG3	7886008	7886008
LG3	8340860	8340860
LG3	8464686	8464905
LG3	8610627	8610627
LG3	9404784	9404784
LG3	9411744	9411744
LG3	9497837	9497837
LG3	10018537	10018600
LG3	10206581	10206581
LG3	10235065	10235117
LG3	10277647	10277647
LG3	10682411	10682411
LG3	11167480	11167480
LG3	11213407	11213407
LG3	11315867	11315867
LG4	31261	33753
LG4	232647	232647
LG4	377558	377558
LG4	404754	404812
LG4	427851	428694
LG4	887532	887532
LG4	1039033	1039033
LG4	2061477	2061536
LG4	2563122	2563122
LG4	3499628	3499628
LG4	3623177	3623177
LG4	3718918	3718918
LG4	3749594	3749594
LG4	3784432	3784432
LG4	3824274	3824872
LG4	4572442	4572508
LG4	4926285	4926354
LG4	5201760	5201760
LG4	5996629	5996629
LG4	6150344	6150344
LG4	6383589	6383647
LG4	6492001	6492001
LG4	6585815	6586434
LG4	7558813	7558813
LG4	8340682	8340746
LG4	8589592	8589592
LG4	8762753	8762753
LG4	8770387	8770387
LG4	9613899	9613899
LG4	10204964	10204964
LG4	10230162	10230162
LG4	10295308	10295308
LG4	10513715	10513715
LG4	10627290	10627290
LG4	10850662	10850662
LG5	481951	482084
LG5	717285	717285
LG5	1047461	1047461
LG5	1084004	1084815
LG5	1289075	1289075
LG5	1401949	1401949
LG5	1427807	1427807
LG5	1683235	1683235
LG5	2214247	2297084
LG5	2967160	2970008
LG5	2970234	2972063
LG5	3069885	3069885
LG5	3115821	3116112
LG5	3125743	3126139
LG5	3127371	3127775
LG5	3128004	3128153
LG5	4428062	4428062
LG5	4814567	4814885
LG5	5026469	5026469
LG5	5767317	5788974
LG5	6309019	6314758
LG5	6310860	6316927
LG5	6393445	6393521
LG5	6788512	6788643
LG5	8441287	8441287
LG5	8640311	8685750
LG5	8685870	8688995
LG5	8689054	8690500
LG5	8812886	8812886
LG5	9028299	9030416
LG5	9373919	9373919
LG5	9458703	9458703
LG6	61405	61405
LG6	99198	99198
LG6	175439	175439
LG6	339918	342055
LG6	339929	339929
LG6	340486	340486
LG6	522834	524753
LG6	528292	531277
LG6	549884	549942
LG6	567051	571880
LG6	575027	580024
LG6	711060	711126
LG6	1322027	1322027
LG6	1363865	1364096
LG6	1400356	1401466
LG6	1401322	1407635
LG6	1403603	1403603
LG6	1418658	1418718
LG6	1989166	1989166
LG6	2458269	2458345
LG6	2766230	2766230
LG6	3487795	3487795
LG6	3582009	3582009
LG6	3640627	3640627
LG6	3667822	3667822
LG6	4485233	4485233
LG6	4496924	4496924
LG6	4538998	4538998
LG6	4681616	4681616
LG6	5338507	5338507
LG6	5365642	5365642
LG6	5426435	5426435
LG6	5723559	5723559
LG6	6156788	6156788
LG6	6295877	6295877
LG6	6299823	6299823
LG6	6400364	6400364
LG6	6598755	6598755
LG6	6606588	6606588
LG6	6613046	6613046
LG6	6683874	6683874
LG6	7048286	7099203
LG6	7048511	7099336
LG6	7710741	7710741
LG6	7841256	7841256
LG6	8007729	8007907
LG6	8008799	8008855
LG6	8008921	8009132
LG6	8028654	8028654
LG6	8392016	8392016
LG6	8651914	8651914
