chr	start	end	RR	TE	region	CHR	GC	GENE	INTERGENE	INTRON	EXON	SNPs_Una	Pi_Una	SNPs_Itabuna	Pi_Itabuna	SNPs_Tenerife	Pi_Tenerife	tajD_Una	tajD_Itabuna	tajD_Tenerife	piAll	piNWL	Pnonsyn_Una	Psyn_Una	Pnonsyn_Itabuna	Psyn_Itabuna	Pnonsyn_Tenerife	Psyn_Tenerife	Tnonsyn_Una	Tsyn_Una	Tnonsyn_Itabuna	Tsyn_Itabuna	Tnonsyn_Tenerife	Tsyn_Tenerife	TenIta	TenUna	ItaUna	dxy_PQueen_PMale	introgression	dxy_Una_Taiwan	dxy_Itabuna_Leiden
LG1	0	250000	25.1279155307271	0.11332	LDRs	1	0.448888	0.214412	3099.034483	734.4437086	297.4764151	691	0.001074471	693	0.000757158	209	0.000470859	0.126979158	-1.158741526	-0.210422911	0.000198124	0.0000781308	0.00032215	0.00207196	0.00027975	0.00133791	0.0000817	0.00027633	0.02057361	0.24874436	-1.06988787	-1.284721	1.73181517	2.08967484	0.68723161	0.59798601	0.0339927	0.000006	no	0.002121	0.002283
LG1	1000000	1250000	1.50732030095278	0.19638	LDRs	1	0.426632	0.147276	5979.206897	296.8955224	233.1055556	817	0.000805757	751	0.000696274	55	0.000046371	-0.802110557	-1.152449242	-1.81913419	0.000280687	0.000260045	0.00028587	0.00154043	0.00024274	0.00124511	0.00004038	0	-1.1042306	-0.96288195	-1.30502367	-1.24609011	-0.65958014	0	0.77546025	0.75816993	0.0364398	0.002036	yes	0.001394	0.002345
LG1	10000000	10250000	0.83185402	0.028392	LDRs	1	0.389568	0.023628	18635.25	4048.255319	113.2407407	49	0.000023287	13	0.000010287	28	0.000024275	-2.415703916	-1.564698752	-1.63173794	0.0000608791	0.0000315652	0	0.00013766	0	0	0	0	0	-2.02416606	0	0	0	0	0.97044261	0.95414526	0.03035486	0	no	0.00119	0.001306
LG1	10250000	10500000	0.83185402	0.104404	LDRs	1	0.3872	0.02298	26043.66667	3658.147059	133.8309859	70	0.000059875	42	0.000043758	125	0.000139447	-1.493314549	-0.978058114	-0.863620323	0.0000889438	0.0000454928	0	0	0	0	0	0.0001118	0	0	0	0	0	-1.42032124	0.84020172	0.82798695	0.02738447	0	no	0.000908	0.000844
LG1	10500000	10750000	0.83185402	0.055752	LDRs	1	0.40382	0.09732	5986.423077	1358.760417	196.0444444	83	0.000039826	49	0.000032075	141	0.000135262	-2.395886589	-2.058517909	-1.231144885	0.0000989437	0.0000534204	0.00003332	0.00001659	0.00003376	0	0.00002665	0	-2.24320966	-1.34132032	-2.11133703	0	-2.61559744	0	0.90260681	0.88410685	0.02549827	0	no	0.0016	0.001585
LG1	10750000	11000000	0.83185402	0.03034	LDRs	1	0.40528	0.188752	4218.428571	767.375	254.8504673	68	0.000035404	20	0.000016952	40	0.000035928	-2.267057391	-1.494228102	-1.622805618	0.000109984	0.0000553335	0.00000729	0.00004585	0.00000514	0	0.00003082	0.00011356	-2.36919032	-2.53122089	-2.13271071	0	0.52314931	-0.44334367	0.96381113	0.9460301	0.03018199	0	no	0.001249	0.001384
LG1	11000000	11250000	0.518576176754968	0.032916	LDRs	1	0.420604	0.105896	7606.5625	908.5486726	201.625	79	0.000038734	33	0.000021924	41	0.000023701	-2.324846895	-1.970878892	-2.560697919	0.000139057	0.0000696813	0	0.0000406	0	0	0.00004945	0.00006799	0	-2.4243368	0	0	-2.58167606	-2.27287135	0.97311953	0.95927036	0.02619569	0.000015	no	0.001483	0.001747
LG1	11250000	11500000	0	0.031028	LDRs	1	0.410936	0.142848	3906.117647	540.8012422	189.7302326	87	0.000046385	188	0.000107904	41	0.000025438	-2.218687439	-2.259701546	-2.455645936	0.00011746	0.0000678841	0.00002709	0.00004227	0.00006091	0.0001979	0.000008	0	-1.32576694	-2.49715566	-2.23280734	-2.0123839	-2.284198	0	0.92273849	0.94432358	0.02276465	0.00002	no	0.001348	0.001381
LG1	11500000	11750000	0	0.032536	LDRs	1	0.384148	0.046336	11609.69231	1638.121212	146.8641975	165	0.00010027	351	0.000214236	31	0.000022326	-2.006600363	-2.164887336	-2.162364576	0.000139799	0.0000911744	0.00011602	0.00015822	0.00009878	0.00029146	0.00001094	0	-2.04423268	-2.37373251	-1.80944533	-2.04131664	-1.57443398	0	0.87169751	0.91413681	0.0263109	0.000059	no	0.001441	0.001371
LG1	11750000	12000000	1.95577500497093	0.033652	LDRs	1	0.395568	0.124676	4685.44	987.5403226	218.6091954	251	0.000375597	289	0.000247577	26	0.000019338	0.795574482	-1.381588701	-2.138554875	0.000168219	0.000105276	0.0000776	0.00040864	0.00004369	0.00029481	0	0	0.95894217	-0.00164796	-1.72795476	-1.53187912	0	0	0.87966398	0.84304069	0.05132188	0.000577	no	0.001464	0.001588
