chr	start	end	RR	TE	region	CHR	GENE	GC	Pi_Una	Pi_Itabuna	tajD_Una	tajD_Itabuna	pi_indels	Pi_nonsyn_Una	Pi_syn_Una	Pi_nonsyn_Itabuna	Pi_syn_Itabuna	Pi_nonsyn_Tenerife	Pi_syn_Tenerife	Fst_Tenerife_Itabuna	Fst_Tenerife_Una	dxy_PQueen_PMale	dxy_Una_Taiwan	dxy_Itabuna_Leiden	introgression
LG1	0	250000	25.1279155307271	0.11332	LDRs	1	0.214412	0.448888	0.001074471	0.000757158	0.126979158	-1.158741526	0.000198124	0.00032215	0.00207196	0.00027975	0.00133791	0.0000817	0.00027633	0.68723161	0.59798601	0.000006	0.002121	0.002283	no
LG1	1000000	1250000	1.50732030095278	0.19638	LDRs	1	0.147276	0.426632	0.000805757	0.000696274	-0.802110557	-1.152449242	0.000280687	0.00028587	0.00154043	0.00024274	0.00124511	0.00004038	0	0.77546025	0.75816993	0.002036	0.001394	0.002345	yes
LG1	10000000	10250000	0.83185402	0.028392	LDRs	1	0.023628	0.389568	0.000023287	0.000010287	-2.415703916	-1.564698752	0.0000608791	0	0.00013766	0	0	0	0	0.97044261	0.95414526	0	0.00119	0.001306	no
LG1	10250000	10500000	0.83185402	0.104404	LDRs	1	0.02298	0.3872	0.000059875	0.000043758	-1.493314549	-0.978058114	0.0000889438	0	0	0	0	0	0.0001118	0.84020172	0.82798695	0	0.000908	0.000844	no
LG1	10500000	10750000	0.83185402	0.055752	LDRs	1	0.09732	0.40382	0.000039826	0.000032075	-2.395886589	-2.058517909	0.0000989437	0.00003332	0.00001659	0.00003376	0	0.00002665	0	0.90260681	0.88410685	0	0.0016	0.001585	no
LG1	10750000	11000000	0.83185402	0.03034	LDRs	1	0.188752	0.40528	0.000035404	0.000016952	-2.267057391	-1.494228102	0.000109984	0.00000729	0.00004585	0.00000514	0	0.00003082	0.00011356	0.96381113	0.9460301	0	0.001249	0.001384	no
LG1	11000000	11250000	0.518576176754968	0.032916	LDRs	1	0.105896	0.420604	0.000038734	0.000021924	-2.324846895	-1.970878892	0.000139057	0	0.0000406	0	0	0.00004945	0.00006799	0.97311953	0.95927036	0.000015	0.001483	0.001747	no
LG1	11250000	11500000	0	0.031028	LDRs	1	0.142848	0.410936	0.000046385	0.000107904	-2.218687439	-2.259701546	0.00011746	0.00002709	0.00004227	0.00006091	0.0001979	0.000008	0	0.92273849	0.94432358	0.00002	0.001348	0.001381	no
LG1	11500000	11750000	0	0.032536	LDRs	1	0.046336	0.384148	0.00010027	0.000214236	-2.006600363	-2.164887336	0.000139799	0.00011602	0.00015822	0.00009878	0.00029146	0.00001094	0	0.87169751	0.91413681	0.000059	0.001441	0.001371	no
LG1	11750000	12000000	1.95577500497093	0.033652	LDRs	1	0.124676	0.395568	0.000375597	0.000247577	0.795574482	-1.381588701	0.000168219	0.0000776	0.00040864	0.00004369	0.00029481	0	0	0.87966398	0.84304069	0.000577	0.001464	0.001588	no
LG1	12000000	12250000	3.709828204	0.118912	LDRs	1	0.098056	0.413448	0.000271899	0.000180952	1.358643306	-0.219156148	0.000211371	0.00015484	0.00026695	0.00009875	0.00016433	0.00002902	0.00001436	0.91826023	0.89785971	0	0.002118	0.002261	no
LG1	12250000	12500000	3.709828204	0.044248	LDRs	1	0.16606	0.385524	0.00021158	0.000143604	0.80365749	-0.694810673	0.000238187	0.00004603	0.00036267	0.00003517	0.00022956	0	0.00000933	0.93990446	0.92376648	0	0.002008	0.00232	no
LG1	1250000	1500000	0	0.046	LDRs	1	0.102652	0.4268	0.000526323	0.000594468	-0.518304757	-1.513906708	0.000229001	0.00038429	0.00076421	0.0003787	0.00088373	0.00031781	0.00013409	0.82020475	0.83842963	0.00058	0.001922	0.002334	no
LG1	12500000	12750000	3.3574336864769	0.035304	LDRs	1	0.207676	0.428376	0.00025715	0.000168425	0.01860501	-0.706137023	0.000259187	0.00004088	0.00062894	0.00002908	0.00035553	0.00001237	0.00001001	0.90598299	0.87698986	0.00001	0.001754	0.001795	no
LG1	12750000	13000000	20.4549903459094	0.026412	LDRs	1	0.234284	0.410104	0.000211075	0.000508597	-1.569577034	-1.35466133	0.000256195	0.00001643	0.00038314	0.00014969	0.00120483	0.00000214	0	0.83106035	0.89820433	0.000056	0.001928	0.00185	no
LG1	13000000	13250000	26.7201201184468	0.03494	LDRs	1	0.122264	0.400132	0.000151707	0.000638031	-1.872757652	-1.303561018	0.000197864	0.0000361	0.00019155	0.00018749	0.00096735	0.00000396	0.00003327	0.79357095	0.9239156	0.000005	0.001824	0.001761	no
LG1	13250000	13500000	39.1752846198399	0.031056	LDRs	1	0.01612	0.422092	0.000340291	0.000716768	0.057581971	-1.212158282	0.000221541	0.0000894	0	0.00026616	0.00025542	0	0	0.77884775	0.88067923	0.00002	0.002102	0.002205	no
LG1	13500000	13750000	NA	0.077116	LDRs	1	0.168248	0.414016	0.000028047	0.000428483	-1.689302453	-1.724153401	0.000177315	0.0000031	0	0.00006533	0.00061424	0.00001309	0.00001461	0.80684477	0.94073634	0.000005	0.001763	0.001873	no
LG1	13750000	13819712	NA	0.619291	TE islands	1	0.254849	0.484221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.002098	0.001652	no
LG1	1500000	1750000	2.59602435918959	0.08688	LDRs	1	0.052416	0.442964	0.000311264	0.000564119	-1.088318394	-1.563848435	0.000185372	0.00007968	0.00034415	0.00030458	0.00092237	0	0.00002456	0.81302478	0.87641405	0	0.001989	0.001969	no
LG1	1750000	2000000	10.2253394855253	0.029616	LDRs	1	0.164504	0.429152	0.000276163	0.000504551	-1.790884603	-1.915789214	0.000230816	0.00007171	0.00054822	0.00014377	0.00100727	0.00000271	0	0.84516339	0.90251923	0.00001	0.002118	0.002191	no
LG1	2000000	2250000	11.40355025	0.045664	LDRs	1	0.095616	0.403012	0.000509797	0.000559824	-1.288842435	-1.910716699	0.000286501	0.0009799	0.00106302	0.00058748	0.00102975	0.00002873	0.0000786	0.84413297	0.85457847	0	0.002258	0.002597	no
LG1	2250000	2500000	8.63606347832354	0.041128	LDRs	1	0.164864	0.395932	0.000121863	0.000168321	-2.448206913	-2.46009579	0.000285012	0.00003665	0.0002099	0.00008856	0.00038012	0.00004332	0.00001519	0.90945867	0.91752609	0	0.001736	0.002253	no
LG1	250000	500000	0	0.050096	LDRs	1	0.112828	0.428908	0.000494167	0.000888919	-1.283160204	-0.954105437	0.000204565	0.00019861	0.0010434	0.0003565	0.00207031	0.00002469	0.00005115	0.75632018	0.84497515	0.000003	0.002519	0.002653	no
LG1	2500000	2750000	15.7428347314617	0.042412	LDRs	1	0.190168	0.343416	0.000118076	0.000226482	-2.408951124	-2.197626402	0.000292615	0.00003249	0.00025611	0.00007574	0.00046735	0	0.00004223	0.91449365	0.93715404	0.000005	0.002161	0.002411	no
LG1	2750000	3000000	18.33849927	0.028828	LDRs	1	0.147812	0.41686	0.000172438	0.000112165	-2.4656012	-2.431368866	0.000323898	0.00006405	0.00041923	0.00005011	0.00026798	0.00002017	0.00001415	0.93710954	0.91307069	0	0.002406	0.002632	no
LG1	3000000	3250000	18.33849927	0.042748	LDRs	1	0.234692	0.383756	0.000014867	0.000075257	-1.728926956	-2.429955694	0.000251566	0.00001197	0	0.00001184	0.00032682	0	0.0000432	0.93621197	0.96779185	0	0.001797	0.001489	no
LG1	3250000	3500000	18.33849927	0.040232	LDRs	1	0.116	0.427864	0.000022688	0.000209224	-1.806310393	-2.20861366	0.00031664	0.00000429	0	0.00011693	0.00119627	0	0	0.90036509	0.95381335	0	0.001932	0.002018	no
LG1	3500000	3750000	9.87404313462339	0.057104	LDRs	1	0.199704	0.379588	0.000096327	0.000073103	-1.519004899	-0.606877526	0.000219001	0.00001804	0.00008963	0.00000409	0.00004307	0.00007487	0.00026438	0.93894481	0.91931534	0.000091	0.001778	0.001992	no
LG1	3750000	4000000	0	0.433216	TE islands	1	0.134488	0.382056	0.00028019	0.000275297	-1.054185565	-0.828686429	0.000183702	0.00007428	0.0001074	0.00007122	0.00012916	0.00017095	0.00014652	0.62303143	0.61595262	0.000096	0.001662	0.001822	no
LG1	4000000	4250000	0	0.786728	TE islands	1	0.057008	0.38284	0.001767414	0.001523825	-0.70697135	-0.440537819	0.000124787	0.00035611	0.0007055	0.00039634	0.00048526	0.00519243	0.01707813	0.33873914	0.33214118	0.000031	0.003869	0.002889	no
LG1	4250000	4500000	0	0.432524	TE islands	1	0.094288	0.383068	0.001282906	0.001294165	-0.885709435	-0.542866461	0.0000926485	0.00008745	0.00012584	0.00009997	0	0.00008219	0.00007912	0.51466974	0.49860244	0.000064	0.001761	0.001722	no
